     #Rep       r/D      r/D        <U_z>           <p>   <U_r(rms)>  <U_phi(rms)>  <U_z(rms)>     <UW(res)>     <UW(vsc)>     <UW(tot)>     <UUU(res)>     <UVV(res)>     <UWW(res)>   <TKE(res)>    <Dissip>
      33   0.16927  0.17187  18.506239    -0.17399132   0.71970036     0.78207978  1.143262    0.31891998    0.02480619    0.34372617    -0.09356904    -0.029793196   -0.2985757     1.2101907     4.7381394
      34   0.17448  0.17708  18.459271    -0.17736643   0.72413861     0.78892916  1.1571068   0.32873894    0.025278935   0.35401787    -0.096749857   -0.030537288   -0.30627878    1.2344357     4.8486378
      35   0.17969  0.18229  18.411443    -0.18094293   0.72870205     0.79584833  1.1708003   0.33854361    0.025726533   0.36427014    -0.099675691   -0.031548983   -0.31406578    1.2589113     4.9620674
      36   0.1849   0.1875   18.362797    -0.18468284   0.7333557      0.80276293  1.1843238   0.3483245     0.026159402   0.3744839     -0.10230862    -0.032727567   -0.32198045    1.2835085     5.0789718
      37   0.1901   0.19271  18.313345    -0.18853965   0.73806116     0.80962327  1.1976764   0.3580722     0.026594798   0.384667      -0.10463036    -0.033870002   -0.33007381    1.3081508     5.2024399
      38   0.19531  0.19792  18.263066    -0.19246765   0.74278777     0.81643929  1.2108619   0.36777458    0.027051317   0.39482589    -0.10661598    -0.034766758   -0.33839165    1.3328128     5.3343846
      39   0.20052  0.20312  18.211903    -0.19643733   0.74752333     0.82325216  1.223884    0.37741081    0.027543115   0.40495393    -0.10823443    -0.035332222   -0.34690475    1.3575057     5.473914
      40   0.20573  0.20833  18.159779    -0.20044471   0.7522723      0.83004265  1.2367582   0.38695559    0.028077928   0.41503352    -0.10947304    -0.035586111   -0.35551912    1.3822237     5.6209941
      41   0.21094  0.21354  18.106611    -0.20450325   0.75704165     0.83672098  1.2495322   0.3963974     0.028657735   0.42505513    -0.11035207    -0.035534801   -0.36414836    1.4069534     5.7781208
      42   0.21615  0.21875  18.052313    -0.20862368   0.76182762     0.84321953  1.2622998   0.40575637    0.029280483   0.43503685    -0.11090593    -0.035124086   -0.37277722    1.4317544     5.9466126
      43   0.22135  0.22396  17.996809    -0.21279712   0.76661135     0.84956832  1.2751838   0.41508352    0.029942157   0.44502568    -0.11115374    -0.034284707   -0.38148383    1.4567967     6.1243999
      44   0.22656  0.22917  17.94003     -0.21698942   0.77136231     0.85588679  1.2883096   0.42444751    0.030635704   0.45508322    -0.11108735    -0.033011738   -0.39041171    1.4823243     6.3080797
      45   0.23177  0.23437  17.881925    -0.22114789   0.77604766     0.86231535  1.3017831   0.43391584    0.031349984   0.46526582    -0.11067984    -0.031413202   -0.3997449     1.5085776     6.4959251
      46   0.23698  0.23958  17.822467    -0.22521683   0.78064186     0.86895012  1.3156668   0.4435343     0.032076704   0.47561101    -0.10992635    -0.029689382   -0.4097121     1.5357144     6.6891429
      47   0.24219  0.24479  17.761637    -0.22914891   0.78512734     0.87582232  1.3299725   0.45332204    0.032818975   0.48614102    -0.10889825    -0.028059009   -0.42060193    1.5637811     6.8911838
      48   0.2474   0.25     17.699396    -0.23290383   0.78948921     0.88291925  1.3446841   0.46327803    0.033588086   0.49686612    -0.10773423    -0.026670956   -0.43259741    1.5927526     7.1064757
      49   0.2526   0.25521  17.635682    -0.23644558   0.79371532     0.89020632  1.3598114   0.47339412    0.034388939   0.50778306    -0.10658388    -0.025577072   -0.44557265    1.6226184     7.3365118
      50   0.25781  0.26042  17.570438    -0.23974531   0.79779713     0.89762401  1.3754119   0.48366419    0.035207708   0.5188719     -0.10557704    -0.02477156    -0.45928482    1.653416      7.5782331
      51   0.26302  0.26562  17.503653    -0.24278086   0.80172753     0.90510857  1.3915395   0.49406605    0.036013718   0.53007977    -0.10478851    -0.024195719   -0.4736244     1.6851806     7.8291809
      52   0.26823  0.27083  17.435386    -0.24553526   0.8055029      0.91264367  1.4081934   0.50453415    0.03677385    0.541308      -0.10423016    -0.023753496   -0.48866841    1.7179171     8.085268
      53   0.27344  0.27604  17.365751    -0.24799434   0.80911893     0.9202529   1.4252671   0.51493819    0.037471163   0.55240936    -0.10389634    -0.023316343   -0.50415957    1.7515199     8.3416547
      54   0.27865  0.28125  17.294869    -0.25013716   0.81256503     0.9279623   1.4425999   0.52512853    0.038114363   0.56324289    -0.10373351    -0.022719895   -0.51947346    1.7857949     8.5978708
      55   0.28385  0.28646  17.222822    -0.25193399   0.81582734     0.93578134  1.4600546   0.53502282    0.038729022   0.57375184    -0.10361201    -0.021821977   -0.53435503    1.8205528     8.8590956
      56   0.28906  0.29167  17.149636    -0.25334826   0.81888626     0.94369468  1.4775316   0.54460657    0.039352808   0.58395938    -0.10334186    -0.020659467   -0.5488987     1.855627      9.1334774
      57   0.29427  0.29687  17.075249    -0.2543308    0.82171319     0.95165194  1.4950336   0.55391005    0.040035542   0.59394559    -0.10266691    -0.019444333   -0.56337407    1.8909526     9.4289532
      58   0.29948  0.30208  16.999502    -0.25482098   0.82427348     0.95955054  1.5127206   0.56302943    0.040811287   0.60384072    -0.10132606    -0.018338641   -0.57832324    1.9266441     9.7497666
      59   0.30469  0.30729  16.922207    -0.25475176   0.82652723     0.96722769  1.5308556   0.57207246    0.041675438   0.6137479     -0.099163304   -0.01741459    -0.59435161    1.9629217    10.093699
      60   0.3099   0.3125   16.843219    -0.25405657   0.82843507     0.97447724  1.5497002   0.58108546    0.042603588   0.62368904    -0.096130678   -0.016649748   -0.61178337    1.9999774    10.453259
      61   0.3151   0.31771  16.762444    -0.25268163   0.82996616     0.98112822  1.5694251   0.59005879    0.043579758   0.63363855    -0.092252736   -0.015950843   -0.63068126    2.0379183    10.81801
      62   0.32031  0.32292  16.679795    -0.25058635   0.8310907      0.98709025  1.5899982   0.59892619    0.044618642   0.64354483    -0.087626487   -0.015218403   -0.65077032    2.0766275    11.191799
      63   0.32552  0.32812  16.595124    -0.24771237   0.83175542     0.99236317  1.6113755   0.60762132    0.045761031   0.65338235    -0.082356254   -0.014331383   -0.67145897    2.1160393    11.592354
      64   0.33073  0.33333  16.508191    -0.24395886   0.83188503     0.99703524  1.6338113   0.61617283    0.047034781   0.66320761    -0.076472478   -0.013222314   -0.69291893    2.1566282    12.022837
      65   0.33594  0.33854  16.418743    -0.23920325   0.8314062      1.0012742   1.6576508   0.62461001    0.048451147   0.67306116    -0.069986484   -0.011980716   -0.71584764    2.1991231    12.475347
      66   0.34115  0.34375  16.3265      -0.23333042   0.83025851     1.0053388   1.6830232   0.63291253    0.050031725   0.68294425    -0.062932735   -0.010843311   -0.7405786     2.2440391    12.949316
      67   0.34635  0.34896  16.231124    -0.22623266   0.82838332     1.0094472   1.7098825   0.64108136    0.051800496   0.69288186    -0.05533902    -0.010125046   -0.76686521    2.2915891    13.45151
      68   0.35156  0.35417  16.132248    -0.21779008   0.82570473     1.013513    1.7382589   0.64915066    0.053761325   0.70291198    -0.047206718   -0.0099804087  -0.79440066    2.3418103    13.987917
      69   0.35677  0.35937  16.029519    -0.20785253   0.82211615     1.0172245   1.7682967   0.65711584    0.055906231   0.71302207    -0.038554985   -0.01018059    -0.82300684    2.3947109    14.562797
